_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos;MGPS;E
239.04675;-45.5920278;15 56 11.22;1.5;-45 35 31.3;1.7;449.6;13.7;496.9;15.1;65.2;49.5;94.3;0.0;0.0;     ;J1600M44;1;923.3;127.2;J155611-453531;0.0
239.28395830000002;-41.44280560000001;15 57 08.15;1.5;-41 26 34.1;1.7;692.7;20.8;716.7;21.6;70.0;56.9;139.1;0.0;0.0;     ;J1600M40;1;880.7;150.1;J155708-412634;1.0
239.3338333;-40.491916700000004;15 57 20.12;1.5;-40 29 30.9;1.7;519.0;15.6;568.8;17.1;70.2;49.3;83.7;0.0;0.0;     ;J1600M40;1;870.8;350.1;J155720-402930;1.0
239.3448333;-60.522972200000005;15 57 22.76;1.5;-60 31 22.7;1.7;484.2;14.6;502.5;15.1;52.0;47.3;108.9;0.0;0.0;     ;J1600M60;1;810.5;462.3;J155722-603122;0.0
239.493375;-53.8083889;15 57 58.41;1.5;-53 48 30.2;1.7;735.9;22.3;849.3;25.7;57.1;52.2;100.4;0.0;0.0;     ;J1600M52;1;802.9;89.4;J155758-534830;0.0
239.7069583;-64.54125;15 58 49.67;1.5;-64 32 28.5;1.7;596.4;17.9;665.2;20.0;53.1;47.6;138.7;0.0;0.0;     ;J1600M64;1;746.2;474.7;J155849-643228;1.0
239.8653333;-51.8413611;15 59 27.68;1.5;-51 50 28.9;1.7;579.1;17.6;588.2;17.8;57.1;48.4;155.2;0.0;0.0;     ;J1600M52;1;732.2;596.9;J155927-515028;0.0
239.9670833;-57.178611100000005;15 59 52.10;1.5;-57 10 43.0;1.7;473.5;14.3;629.4;24.2;62.2;52.8;119.3;41.4;0.0;105.9;J1600M56;1;710.8;265.2;J155952-571043;0.0
240.04133330000002;-41.043138899999995;16 00 09.92;1.5;-41 02 35.3;1.7;573.4;17.3;573.5;17.3;70.0;45.3;81.6;0.0;0.0;     ;J1600M40;1;694.8;234.6;J160009-410235;1.0
240.04995830000001;-58.1821111;16 00 11.99;1.5;-58 10 55.6;1.7;795.4;23.9;1023.5;38.5;61.7;49.2;151.7;36.4;0.0;137.1;J1600M60;1;696.4;1126.1;J160011-581055;0.0
240.081;-46.818805600000005;16 00 19.44;1.5;-46 49 07.7;1.7;7843.0;235.3;9046.0;271.4;59.2;53.9;65.9;0.0;0.0;     ;J1600M48;1;686.9;811.3;J160019-464907;0.0
240.2310417;-52.6083056;16 00 55.45;1.5;-52 36 29.9;1.7;730.6;22.3;797.6;24.4;58.5;49.1;152.3;0.0;0.0;     ;J1600M52;1;659.1;399.1;J160055-523629;0.0
240.43475;-39.9308611;16 01 44.34;1.5;-39 55 51.1;1.7;457.7;13.8;489.1;14.7;70.0;57.7;135.9;0.0;0.0;     ;J1600M40;1;595.9;468.4;J160144-395551;1.0
240.5253333;-64.1989167;16 02 06.08;1.5;-64 11 56.1;1.7;1242.0;37.3;1274.0;38.2;50.8;45.6;162.4;0.0;0.0;     ;J1600M64;1;630.2;575.2;J160206-641156;1.0
240.7318333;-43.0515833;16 02 55.64;1.5;-43 03 05.7;1.7;690.3;20.8;690.4;20.8;64.8;45.5;5.5;0.0;0.0;     ;J1600M44;1;530.0;705.1;J160255-430305;0.0
240.937375;-42.47225;16 03 44.97;1.5;-42 28 20.1;1.7;898.2;27.0;935.0;28.1;64.8;52.0;126.4;0.0;0.0;     ;J1600M44;1;478.7;836.4;J160344-422820;0.0
240.96125;-49.067555600000006;16 03 50.70;1.5;-49 04 03.2;1.7;1511.0;45.4;1537.0;46.2;60.6;47.2;67.9;0.0;0.0;     ;J1600M48;1;498.9;263.4;J160350-490403;0.0
241.1230417;-45.38169439999999;16 04 29.53;1.5;-45 22 54.1;1.7;686.7;20.7;693.3;20.8;64.8;47.8;164.8;0.0;0.0;     ;J1600M44;1;446.9;174.7;J160429-452254;0.0
241.12925;-44.6919167;16 04 31.02;1.5;-44 41 30.9;1.7;1325.0;39.8;1335.0;40.1;64.8;53.9;149.4;0.0;0.0;     ;J1600M44;1;442.3;331.4;J160431-444130;0.0
241.491375;-54.15027779999999;16 05 57.93;1.5;-54 09 01.0;1.7;598.9;18.1;877.9;30.8;76.3;47.6;152.8;55.8;0.0;145.8;J1600M56;1;419.2;1084.2;J160557-540901;0.0
241.76383330000002;-45.46275;16 07 03.32;1.5;-45 27 45.9;1.7;1695.0;50.9;1761.0;52.9;64.8;56.1;143.0;0.0;0.0;     ;J1600M44;1;300.2;154.5;J160703-452745;0.0
241.764125;-63.52547220000001;16 07 03.39;1.5;-63 31 31.7;1.7;698.1;21.0;5264.4;161.6;175.3;97.3;23.3;168.2;85.8; 23.8;J1600M64;1;447.7;770.4;J160703-633131;1.0
241.9610833;-40.036888899999994;16 07 50.66;1.5;-40 02 12.8;1.7;1002.0;30.1;1317.0;46.3;91.1;46.1;172.0;59.2;0.0;165.5;J1600M40;1;213.7;442.8;J160750-400212;1.0
241.95966669999999;-53.934;16 07 50.32;1.5;-53 56 02.4;1.7;488.8;14.7;534.0;16.1;54.3;49.7;104.1;0.0;0.0;     ;J1600M56;2;327.5;1141.0;J160750-535602;0.0
242.14820830000002;-44.5336389;16 08 35.57;1.5;-44 32 01.1;1.7;1038.0;31.2;1095.0;32.9;64.8;50.2;115.1;0.0;0.0;     ;J1600M44;2;204.0;364.2;J160835-443201;0.0
242.2456667;-42.1777222;16 08 58.96;1.5;-42 10 39.8;1.7;546.7;16.5;546.8;16.5;64.8;49.5;159.6;0.0;0.0;     ;J1600M44;2;160.5;899.1;J160858-421039;0.0
