_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos
20.5130417;-37.5116111;01 22 03.13;1.5;-37 30 41.80;1.7;1210.0;36.4;1238.0;37.2;76.6;63.2;29.5;0.0;0.0;     ;J0112M36;2;52.8;119.3
21.564375;-40.7075278;01 26 15.45;1.5;-40 42 27.10;1.7;1816.0;54.5;1931.0;58.0;70.0;59.5;139.8;0.0;0.0;     ;J0120M40;1;316.9;303.0
21.810416699999998;-41.212611100000004;01 27 14.50;1.5;-41 12 45.40;1.7;1765.0;53.0;2080.0;62.4;72.1;56.4;151.0;0.0;0.0;     ;J0120M40;1;259.4;196.0
21.8773333;-61.2726944;01 27 30.56;1.5;-61 16 21.70;1.7;1312.0;39.4;1313.0;39.4;52.0;45.0;0.5;0.0;0.0;     ;J0130M60;1;802.9;249.9
22.1432917;-52.9224167;01 28 34.39;1.5;-52 55 20.70;1.7;1574.0;47.2;1617.0;48.5;57.1;46.9;108.0;0.0;0.0;     ;J0136M52;1;1071.3;314.4
22.815208300000002;-51.027111100000006;01 31 15.65;1.5;-51 01 37.60;1.7;1805.0;54.2;1839.0;55.2;57.1;49.2;127.2;0.0;0.0;     ;J0136M52;1;948.9;805.3
23.389125;-44.7393333;01 33 33.39;1.5;-44 44 21.60;1.7;1842.0;55.3;2840.0;107.6;72.7;63.2;115.7;55.7;0.0; 99.3;J0140M44;1;1079.4;319.4
25.4805;-69.69275;01 41 55.32;1.5;-69 41 33.90;1.7;1361.0;40.9;1411.0;42.4;48.5;47.4;119.0;0.0;0.0;     ;J0148M68;1;877.6;138.5
25.860291699999998;-45.498361100000004;01 43 26.47;1.5;-45 29 54.10;1.7;1809.0;54.3;2184.0;65.6;64.8;56.7;112.7;0.0;0.0;     ;J0140M44;1;507.7;148.7
27.233375;-57.741055599999996;01 48 56.01;1.5;-57 44 27.80;1.7;1648.0;49.5;2008.0;60.3;56.2;53.4;113.2;0.0;0.0;     ;J0136M56;2;140.5;101.7
27.9307917;-39.169388899999994;01 51 43.39;1.5;-39 10 09.80;1.7;1427.0;42.9;1587.0;47.7;70.0;55.4;125.2;0.0;0.0;     ;J0200M40;1;1229.9;624.8
