_RAJ2000;_DEJ2000;NVSS;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;S1.4;e_S1.4;l_MajAxis;MajAxis;l_MinAxis;MinAxis;f_resFlux
115.29458329999999;31.200111100000004;074110+311200;07 41 10.70;+31 12 00.4;0.04;0.6;2284.3;68.5;<;19.5;<;18.3;
116.09020829999999;-6.4932222;074421-062935;07 44 21.65;-06 29 35.6;0.03;0.6;8078.2;242.3;<;19.8;<;16.9;
116.38791670000002;10.1869167;074533+101112;07 45 33.10;+10 11 12.9;0.03;0.6;3506.4;105.2;<;17.6;<;16.4;
116.880625;-19.2943611;074731-191739;07 47 31.35;-19 17 39.7;0.03;0.6;2372.0;83.7;;14.6;<;19.8;
119.61916670000001;37.7871667;075828+374713;07 58 28.60;+37 47 13.8;0.04;0.6;2717.9;84.0;;112.8;;52.0;S*
120.3896667;14.245055599999999;080133+141442;08 01 33.52;+14 14 42.2;0.03;0.6;2734.1;82.0;<;16.6;<;14.5;P*
121.38045829999999;24.172583300000003;080531+241021;08 05 31.31;+24 10 21.3;0.03;0.6;2353.8;75.9;;98.9;;23.5;P*
121.40683329999999;24.16025;080537+240936;08 05 37.64;+24 09 36.9;0.03;0.6;2866.2;92.5;;84.5;;30.5;S*
122.21933329999999;-10.4726667;080852-102821;08 08 52.64;-10 28 21.6;0.03;0.6;2758.7;98.2;;45.3;;16.3;P*
125.22508329999998;-36.2156667;082054-361256;08 20 54.02;-36 12 56.4;0.04;0.6;3409.2;120.7;;45.2;;18.4;S*
125.853;22.3843611;082324+222303;08 23 24.72;+22 23 03.7;0.03;0.6;2272.4;68.2;<;17.0;<;16.7;
126.822125;-20.4396944;082717-202622;08 27 17.31;-20 26 22.9;0.03;0.6;3754.2;130.6;;19.3;<;15.7;
127.01991670000001;-37.5181667;082804-373105;08 28 04.78;-37 31 05.4;0.04;0.6;2576.5;77.3;<;16.7;<;13.9;P*
127.79166670000001;37.70275;083110+374209;08 31 10.00;+37 42 09.9;0.04;0.6;2259.6;67.8;<;18.8;<;17.8;
