image,center-ra,center-dec,radius,rms
J0000M32.FITS,0.0036031584186309107,-32.00288298784689,2.15161462893737,0.0022509036345367685
J0000M36.FITS,0.0037771233749399205,-36.005198362414426,2.1516146289395452,0.001790287509440429
J0000M40.FITS,0.003989022210804832,-40.00475353221658,2.151614628939056,0.001876832824249999
J0000M44.FITS,0.004247879547011443,-44.00219924380853,2.1516146289369744,0.001969837105092673
J0000M48.FITS,0.0045666381041734976,-48.002055737290405,2.1516146289369145,0.0012376210877120552
J0000M52.FITS,0.004963474866283987,-52.003877451367146,2.1516146289381544,0.0012401278587494775
J0000M56.FITS,0.005464745654283501,-56.00368554515224,2.151614628938017,0.0017914585717638844
J0000M60.FITS,0.006111762982810807,-60.00352811051228,2.1516146289378693,0.002245408791239479
J0000M64.FITS,0.006971095925647473,-64.00339944997233,2.1516146289377485,0.001296894699219706
J0000M68.FITS,0.008157866553900767,-68.00329532113875,2.151614628937701,0.0011468989048350425
J0000M72.FITS,0.009888838704127833,-72.00160614984274,2.151614628936726,0.0014751922103456872
J0000M76.FITS,0.01263312370162793,-76.00314877034944,2.151614628937566,0.0017849882582792764
J0000M80.FITS,0.017598945047964006,-80.00155088407055,2.151614628936704,0.000951088027599259
J0000M84.FITS,0.029239260368440375,-84.00153541781847,2.1516146289366964,0.0012242502627171175
J0000M88.FITS,0.08761987507755131,-88.00152637408672,2.1516146289366733,0.0011305394733145688
J0018M32.FITS,4.503603158418631,-32.00288298784689,2.151614628937395,0.0028828091256861417
J0018M36.FITS,4.50377712337494,-36.005198362414426,2.1516146289395306,0.0019312124362566865
J0020M40.FITS,5.0039890222108045,-40.00475353221658,2.1516146289390257,0.0016433545742320342
J0020M44.FITS,5.004247879547012,-44.00219924380853,2.151614628936981,0.0013581760786119915
J0020M48.FITS,5.004566638104174,-48.002055737290405,2.151614628936906,0.0016059411410124355
J0024M52.FITS,6.004963474866284,-52.003877451367146,2.151614628938161,0.001408122909062312
J0024M56.FITS,6.005464745654283,-56.00368554515224,2.151614628937989,0.0011475412981080647
J0030M60.FITS,7.506111762982811,-60.00352811051228,2.151614628937869,0.0014327438868963148
